Threshold,Key Comparisons,Time Taken (seconds)
1,82695933,0.716000
2,82699434,0.588000
3,82696959,0.573000
4,82910989,0.513000
5,82911109,0.510000
6,82909138,0.512000
7,83285491,0.494000
8,84292172,0.465000
9,84293160,0.465000
10,84291840,0.468000
11,84284992,0.464000
12,84289875,0.465000
13,84291499,0.467000
14,84289753,0.465000
15,87549058,0.447000
16,88890705,0.444000
17,88901255,0.442000
18,88892906,0.448000
19,88885732,0.443000
20,88899609,0.442000
21,88889845,0.443000
22,88895776,0.441000
23,88891741,0.437000
24,88888492,0.445000
25,88904587,0.443000
26,88892062,0.451000
27,88899046,0.441000
28,88895205,0.450000
29,88882349,0.441000
30,94396603,0.447000
31,100754993,0.434000
32,100746700,0.432000
33,100735406,0.435000
34,100732248,0.432000
35,100730301,0.435000
36,100736916,0.435000
37,100728630,0.434000
38,100737655,0.434000
39,100742412,0.436000
40,100749431,0.432000
41,100737992,0.434000
42,100740845,0.436000
43,100752095,0.437000
44,100723878,0.435000
45,100746448,0.436000
46,100760748,0.439000
47,100719366,0.431000
48,100740553,0.435000
49,100751635,0.435000
50,100753970,0.435000
51,100724010,0.433000
52,100747553,0.433000
53,100739871,0.438000
54,100758274,0.432000
55,100736117,0.436000
56,100733708,0.431000
57,100736036,0.435000
58,100757958,0.443000
59,100734935,0.440000
60,100753389,0.435000
61,126612121,0.446000
62,127571853,0.451000
63,127628090,0.452000
64,127603003,0.450000
65,127575052,0.448000
66,127619852,0.447000
67,127607073,0.450000
68,127611223,0.445000
69,127564662,0.459000
70,127632726,0.460000
71,127587264,0.458000
72,127572458,0.453000
73,127619393,0.468000
74,127612544,0.452000
75,127581966,0.450000
76,127619587,0.448000
77,127637123,0.450000
78,127557473,0.448000
79,127606334,0.450000
80,127562926,0.454000
81,127613530,0.454000
82,127579562,0.453000
83,127611343,0.454000
84,127591832,0.453000
85,127564778,0.450000
86,127577047,0.449000
87,127583333,0.451000
88,127594466,0.447000
89,127582216,0.452000
90,127583177,0.457000
91,127590237,0.445000
92,127624589,0.447000
93,127597068,0.446000
94,127613372,0.446000
95,127603705,0.446000
96,127610289,0.447000
97,127573191,0.449000
98,127577507,0.448000
99,127597729,0.450000
100,127618683,0.447000
